Record ID,Status,Brand Name,Model Number,Selling Countries,Manufacturing Countries,Screen Size,Screen Technology,Comparative Energy Consumption,Active Standby Power,Star Rating Index,Star Rating,Product Website,Representative Brand URL
79106,Approved,SAMSUNG ELECTRONICS,S22D300HY,"Australia,Fiji,New Zealand","""Korea, Republic of""",54.626,LCD (LED),79.0,0.2,4.80256876773,4.5,,http://www.samsung.com.au
80140,Approved,SAMSUNG ELECTRONICS,S27D590P,"Australia,Fiji,New Zealand","""Korea, Republic of""",68.506,LCD (LED),109.0,0.3,4.76934094114,4.5,,http://www.samsung.com.au
79677,Approved,SAMSUNG ELECTRONICS,S22D300FY,"Australia,Fiji,New Zealand","""Korea, Republic of""",54.626,LCD (LED),79.0,0.2,4.80256876773,4.5,,http://www.samsung.com.au
79119,Approved,SAMSUNG ELECTRONICS,S24D390HL,"Australia,Fiji,New Zealand","""Korea, Republic of""",59.774,LCD (LED),80.0,0.25,5.28178754997,5.0,,http://www.samsung.com.au
80207,Approved,PHILIPS,221C5T,"Australia,Fiji,New Zealand",China,54.687,LCD (LED),97.0,0.34,3.88777461368,3.5,,
79788,Approved,PHILIPS,207E6Q,"Australia,Fiji,New Zealand",China,49.411,LCD (LED),65.0,0.401,5.07012631906,5.0,,
79789,Approved,PHILIPS,275C5Q,"Australia,Fiji,New Zealand",China,68.599,LCD (LED),97.0,0.382,5.30005396211,5.0,,
79755,Approved,AOC,280LM00002,"Australia,New Zealand",China,70.847,LCD (LED),140.0,0.23,3.83033739204,3.5,,http://www.aocmonitorap.com/
79108,Approved,SAMSUNG ELECTRONICS,S22D390H,"Australia,Fiji,New Zealand","""Korea, Republic of""",54.626,LCD (LED),68.0,0.22,5.47451356025,5.0,,http://www.samsung.com.au
79606,Approved,BenQ,RL2460HTE,"Australia,Fiji,New Zealand",China,60.969,LCD (LED),94.0,0.45,4.6818001452,4.5,http://www.benq.com.au/,http://benqshop.com.au/
79606,Approved,BenQ,RL2460HT,"Australia,Fiji,New Zealand",China,60.969,LCD (LED),94.0,0.45,4.6818001452,4.5,http://www.benq.com.au/,http://benqshop.com.au/
79105,Approved,SAMSUNG ELECTRONICS,S20D300HY,"Australia,Fiji,New Zealand","""Korea, Republic of""",49.371,LCD (LED),59.0,0.24,5.5221705251,5.5,,http://www.samsung.com.au
79869,Approved,PHILIPS,238C5Q,"Australia,Fiji,New Zealand",China,58.421,LCD (LED),82.0,0.375,5.03186658928,5.0,,
80246,Approved,AOC,250LM00001,"Australia,New Zealand",China,63.516,LCD (LED),125.0,0.4,3.11419746105,3.0,,http://www.aocmonitorap.com/
80247,Approved,AOC,340LM00001,"Australia,New Zealand",China,86.705,LCD (LED),260.0,0.46,1.86719426309,1.5,,http://www.aocmonitorap.com/
79877,Approved,PHILIPS,245C5Q,"Australia,Fiji,New Zealand",China,60.468,LCD (LED),91.0,0.38,4.77635155661,4.5,,
79878,Approved,PHILIPS,247E6Q,"Australia,Fiji,New Zealand",China,59.809,LCD (LED),88.0,0.335,4.85861976317,4.5,,
79876,Approved,PHILIPS,225C5Q,"Australia,Fiji,New Zealand",China,54.621,LCD (LED),89.0,0.29,4.26653192443,4.0,,
79892,Approved,LG,27MP35VA,"Australia,New Zealand","China,""Korea, Republic of"",Indonesia",68.599,LCD,110.0,0.42,4.73638525871,4.5,,
79896,Approved,LG,24M45VA,"Australia,New Zealand","China,""Korea, Republic of"",Indonesia",59.81,LCD,80.0,0.251,5.28565300067,5.0,,
