Submit_ID,Brand_Reg,Model_No,SoldIn,Country,screensize,Screen_Area,Screen_Tech,Pasv_stnd_power,Act_stnd_power,Act_stnd_time,Avg_mode_power,Star,SRI,CEC,SubmitStatus,ExpDate,GrandDate,Product Class,Availability Status,Star2,Product Website,Representative Brand URL
49165,LOEWE,Loewe ART 47 SL FHD 100  68403T70,"Australia,New Zealand",Germany,119.0,6136.0,LCD,0.96,1.0,31.0,188.0,3.5,3.526,710.0,Approved,2015-03-07,,Single product class,Unavailable,1.96408997886,,http://www.loewe-int.de/en/
49165,LOEWE,Loewe ART 47 SL FHD 100 68403U70,"Australia,New Zealand",Germany,119.0,6136.0,LCD,0.96,1.0,31.0,188.0,3.5,3.526,710.0,Approved,2015-03-07,,Single product class,Unavailable,1.96408997886,,http://www.loewe-int.de/en/
49165,LOEWE,Loewe ART 47 SL FHD 100 68403W70,"Australia,New Zealand",Germany,119.0,6136.0,LCD,0.96,1.0,31.0,188.0,3.5,3.526,710.0,Approved,2015-03-07,,Single product class,Unavailable,1.96408997886,,http://www.loewe-int.de/en/
49164,LOEWE,Loewe ART 42 SL FHD 100 DR+ 68402T49,"Australia,New Zealand",Germany,106.0,4929.0,LCD,0.858,1.0,37.0,198.0,2.0,2.44,745.0,Approved,2015-03-07,,Single product class,Unavailable,0.877772140952,,http://www.loewe-int.de/en/
49164,LOEWE,Loewe ART 42 SL FHD 100 DR+ 68402U49,"Australia,New Zealand",Germany,106.0,4929.0,LCD,0.858,1.0,37.0,198.0,2.0,2.44,745.0,Approved,2015-03-07,,Single product class,Unavailable,0.877772140952,,http://www.loewe-int.de/en/
49164,LOEWE,Loewe ART 42 SL FHD 100 DR+ 68402W49,"Australia,New Zealand",Germany,106.0,4929.0,LCD,0.858,1.0,37.0,198.0,2.0,2.44,745.0,Approved,2015-03-07,,Single product class,Unavailable,0.877772140952,,http://www.loewe-int.de/en/
49163,LOEWE,Loewe ART 42 SL FHD 100 DR+ 68402T39,"Australia,New Zealand",Germany,106.0,4929.0,LCD,0.858,1.0,37.0,178.0,2.5,2.882,675.0,Approved,2015-03-07,,Single product class,Unavailable,1.31996070937,,http://www.loewe-int.de/en/
49163,LOEWE,Loewe ART 42 SL FHD 100 DR+ 68402U39,"Australia,New Zealand",Germany,106.0,4929.0,LCD,0.858,1.0,37.0,178.0,2.5,2.882,675.0,Approved,2015-03-07,,Single product class,Unavailable,1.31996070937,,http://www.loewe-int.de/en/
49163,LOEWE,Loewe ART 42 SL FHD 100 DR+ 68402W39,"Australia,New Zealand",Germany,106.0,4929.0,LCD,0.858,1.0,37.0,178.0,2.5,2.882,675.0,Approved,2015-03-07,,Single product class,Unavailable,1.31996070937,,http://www.loewe-int.de/en/
49161,LOEWE,Loewe ART 42 SL FHD+ 100 68402T80,"Australia,New Zealand",Germany,106.0,4929.0,LCD,0.858,1.0,31.0,193.0,2.5,2.562,725.0,Approved,2015-03-07,,Single product class,Unavailable,0.999723070587,,http://www.loewe-int.de/en/
49161,LOEWE,Loewe ART 42 SL FHD+ 100 68402U80,"Australia,New Zealand",Germany,106.0,4929.0,LCD,0.858,1.0,31.0,193.0,2.5,2.562,725.0,Approved,2015-03-07,,Single product class,Unavailable,0.999723070587,,http://www.loewe-int.de/en/
49161,LOEWE,Loewe ART 42 SL FHD+ 100 68402W80,"Australia,New Zealand",Germany,106.0,4929.0,LCD,0.858,1.0,31.0,193.0,2.5,2.562,725.0,Approved,2015-03-07,,Single product class,Unavailable,0.999723070587,,http://www.loewe-int.de/en/
49160,LOEWE,Loewe ART 42 SL FHD+ 100 68402T70,"Australia,New Zealand",Germany,106.0,4929.0,LCD,0.858,1.0,31.0,173.0,3.0,3.051,650.0,Approved,2015-03-07,,Single product class,Unavailable,1.48909097444,,http://www.loewe-int.de/en/
49160,LOEWE,Loewe ART 42 SL FHD+ 100 68402U70,"Australia,New Zealand",Germany,106.0,4929.0,LCD,0.858,1.0,31.0,173.0,3.0,3.051,650.0,Approved,2015-03-07,,Single product class,Unavailable,1.48909097444,,http://www.loewe-int.de/en/
49160,LOEWE,Loewe ART 42 SL FHD+ 100 68402W70,"Australia,New Zealand",Germany,106.0,4929.0,LCD,0.858,1.0,31.0,173.0,3.0,3.051,650.0,Approved,2015-03-07,,Single product class,Unavailable,1.48909097444,,http://www.loewe-int.de/en/
49158,LOEWE,Loewe ART 37 SL FHD+ 100 DR+  68423T39,"Australia,New Zealand",Germany,94.0,3854.0,LCD,1.0,1.0,37.0,129.0,3.0,3.145,515.0,Approved,2016-04-12,,Single product class,Unavailable,1.58257378485,,http://www.loewe-int.de/en/
49158,LOEWE,Loewe ART 37 SL FHD+ 100 DR+ 68423U39,"Australia,New Zealand",Germany,94.0,3854.0,LCD,1.0,1.0,37.0,129.0,3.0,3.145,515.0,Approved,2016-04-12,,Single product class,Unavailable,1.58257378485,,http://www.loewe-int.de/en/
49158,LOEWE,Loewe ART 37 SL FHD+ 100 DR+ 68423W39,"Australia,New Zealand",Germany,94.0,3854.0,LCD,1.0,1.0,37.0,129.0,3.0,3.145,515.0,Approved,2016-04-12,,Single product class,Unavailable,1.58257378485,,http://www.loewe-int.de/en/
